# Generated with seed: 465365
game_week,home_team,away_team,division
5,BRE1,BAP5,Div 9
5,CSK2,NAV2,Div 9
5,HAP2,OCH4,Div 9
5,HUT1,GAL3,Div 9
5,SOS3,UPM1,Div 9
5,HRO1,GWA1,Premier
5,LBA1,BAP1,Premier
5,RET1,TIL1,Premier
5,SPM1,SLO1,Premier
5,TER1,IGF1,Premier
6,EHG1,BEA1,Div 1
6,HAP1,OCH1,Div 1
6,RAY1,SOS1,Div 1
6,STO1,GTO1,Div 1
6,SWB1,ILC1,Div 1
6,HOH3,ILC4,Div 10
6,RAF2,BFL1,Div 10
6,RAN2,RAY4,Div 10
6,SOS4,GTO3,Div 10
6,WIL2,UPM2,Div 10
6,BRE2,SLO3,Div 11
6,EAS3,GWA3,Div 11
6,HUT2,BRX2,Div 11
6,OAK1,GAL4,Div 11
6,OCH5,RAY5,Div 11
6,AGH1,GAL1,Div 2
6,BRF1,WRI1,Div 2
6,EPF1,GBA1,Div 2
6,PUR1,BRO1,Div 2
6,THB1,SWE1,Div 2
6,BAP2,EAS1,Div 3
6,BOR1,RAN1,Div 3
6,GWA2,HIE1,Div 3
6,SPM2,GWK1,Div 3
6,WMO1,NAV1,Div 3
6,BRX1,STO2,Div 4
6,CWR1,CTI1,Div 4
6,GTO2,WIL1,Div 4
6,HRO2,RAY2,Div 4
6,OCH2,CSK1,Div 4
6,BEA2,AGH2,Div 5
6,GAL2,STA1,Div 5
6,HOH1,RAF1,Div 5
6,LBA2,RET2,Div 5
6,SJB1,SWB2,Div 5
6,ILC2,THB2,Div 6
6,RAY3,TIL2,Div 6
6,SOS2,EPF2,Div 6
6,SPM3,BAP3,Div 6
6,SWE2,DAN1,Div 6
6,BAP4,TER2,Div 7
6,BRO2,BEN1,Div 7
6,EAS2,EHG2,Div 7
6,GBA2,BOR2,Div 7
6,ILC3,IGF2,Div 7
6,AGH3,SLO2,Div 8
6,CHI1,BRF2,Div 8
6,OCH3,SJB2,Div 8
6,SWB3,HOH2,Div 8
6,WRI2,WMO2,Div 8
6,BAP5,HAP2,Div 9
6,CSK2,HUT1,Div 9
6,GAL3,SOS3,Div 9
6,NAV2,BRE1,Div 9
6,UPM1,OCH4,Div 9
6,IGF1,GWA1,Premier
6,RET1,BAP1,Premier
6,SLO1,LBA1,Premier
6,TER1,SPM1,Premier
6,TIL1,HRO1,Premier
7,BEA1,HAP1,Div 1
